Race_ID,Circuit_Name,Weather,Track_Temperature,Driver_Name,Driver_Experience,Car_Horsepower,Downforce_Level,Tire_Degradation_Rate,Qualifying_Position,Lap_Time,Final_Position,Top_10_Finish,Driver_Style
7,Spa,Cloudy,36,Leclerc,12,971,3.1835653958243895,0.6604206844743938,4,102.87376057222072,4,1,Consistent
15,Spa,Cloudy,33,Norris,14,982,2.3202681978076534,1.0767346031757044,19,106.30296910285249,1,1,Aggressive
11,Silverstone,Rainy,40,Russell,2,1012,3.0069801943908896,0.3520941812890179,1,90.26245246147722,8,1,Aggressive
8,Spa,Cloudy,22,Verstappen,13,924,2.5090397116866967,1.0751020527179105,17,104.63771914016039,7,1,Consistent
7,Interlagos,Cloudy,47,Norris,3,995,3.9405450850061716,0.6763257001005393,12,83.31895210865622,3,1,Aggressive
19,Spa,Cloudy,20,Verstappen,2,925,3.1648051519696168,1.324044646796184,15,105.39356875203555,10,1,Consistent
11,Silverstone,Cloudy,39,Sainz,3,858,2.688184237114849,0.8213304768098951,1,83.82465986995948,10,1,Consistent
11,Interlagos,Sunny,48,Leclerc,7,923,2.7978137748927168,1.4623544889781461,14,91.91861871681101,19,0,Consistent
4,Monza,Sunny,40,Hamilton,1,1035,3.0810352856158048,0.9427095537573442,6,103.91886097338661,14,0,Consistent
8,Spa,Cloudy,42,Leclerc,10,994,2.7798495885627883,0.4133886922688488,5,84.49752282046322,2,1,Consistent
3,Silverstone,Rainy,20,Norris,8,856,3.359722540486493,1.2505068915822288,11,86.87754185697925,1,1,Defensive
2,Monza,Sunny,22,Verstappen,13,1023,2.0969478533289516,0.5831156789513414,4,101.667577051792,18,0,Aggressive
12,Monza,Cloudy,37,Verstappen,10,990,2.839290521506837,0.5866669002757569,13,101.60109609638224,7,1,Defensive
6,Suzuka,Sunny,44,Russell,10,1017,3.2336201626165586,0.14452655407923118,11,99.23442898655892,8,1,Aggressive
2,Interlagos,Sunny,29,Verstappen,10,1019,3.8083456460698955,0.868201432890372,3,100.818453334013,1,1,Defensive
1,Spa,Rainy,41,Russell,14,986,2.8128729275453894,0.8481929052255321,1,96.28173330042789,3,1,Consistent
12,Silverstone,Cloudy,45,Sainz,2,1027,2.399555375671249,0.5983880779807805,6,87.55397176720858,8,1,Aggressive
12,Suzuka,Cloudy,22,Hamilton,3,876,2.2286011387974893,1.351904168054296,18,90.37087980511758,15,0,Aggressive
17,Interlagos,Rainy,27,Norris,9,971,4.821595481406151,0.2802477576195015,10,85.44793150404277,5,1,Defensive
10,Suzuka,Rainy,33,Russell,7,1043,3.2499171732154375,0.5621393186342175,5,107.25351684000884,3,1,Defensive
16,Interlagos,Cloudy,43,Hamilton,4,854,3.743487863542479,0.5502158705520406,10,97.50175384298362,19,0,Aggressive
15,Interlagos,Cloudy,37,Verstappen,10,878,4.757529655506678,0.2292068207202445,12,92.02554250290919,1,1,Defensive
15,Spa,Rainy,34,Verstappen,5,1014,2.2482452601059184,0.7736035516788105,2,93.86017410932398,15,0,Defensive
19,Interlagos,Sunny,41,Hamilton,2,1015,4.629984457777378,1.0628986039345163,13,108.41850018835446,8,1,Defensive
12,Suzuka,Sunny,42,Verstappen,13,932,3.6547636176322102,0.8163198189661657,8,84.6005420934824,2,1,Consistent
3,Interlagos,Rainy,21,Sainz,11,985,2.494502783411003,0.31976875580267117,2,97.58689496050391,3,1,Consistent
5,Spa,Sunny,46,Sainz,13,958,3.233765349756107,0.6282003513389015,1,95.17666036653398,14,0,Defensive
